Month,Day,Away,Away_Pts,Home,Home_Pts
Oct,24,LAL,107,DEN,119
Oct,24,PHO,108,GSW,104
Oct,25,HOU,86,ORL,116
Oct,25,BOS,108,NYK,104
Oct,25,WAS,120,IND,143
Oct,25,ATL,110,CHO,116
Oct,25,DET,102,MIA,103
Oct,25,MIN,94,TOR,97
Oct,25,CLE,114,BRK,113
Oct,25,NOP,111,MEM,104
Oct,25,OKC,124,CHI,104
Oct,25,SAC,130,UTA,114
Oct,25,DAL,126,SAS,119
Oct,25,POR,111,LAC,123
Oct,26,PHI,117,MIL,118
Oct,26,PHO,95,LAL,100
Oct,27,DEN,108,MEM,104
Oct,27,DET,111,CHO,99
Oct,27,NYK,126,ATL,120
Oct,27,OKC,108,CLE,105
Oct,27,MIA,111,BOS,119
Oct,27,TOR,103,CHI,104
Oct,27,HOU,122,SAS,126
Oct,27,BRK,120,DAL,125
Oct,27,LAC,118,UTA,120
Oct,27,ORL,102,POR,97
Oct,27,GSW,122,SAC,114
Oct,28,CHI,102,DET,118
Oct,28,MEM,106,WAS,113
Oct,28,NYK,87,NOP,96
Oct,28,IND,125,CLE,113
Oct,28,PHI,114,TOR,107
Oct,28,MIA,90,MIN,106
Oct,28,UTA,104,PHO,126
Oct,29,DEN,128,OKC,95
Oct,29,GSW,106,HOU,95
Oct,29,ATL,127,MIL,110
Oct,29,POR,98,PHI,126
Oct,29,SAS,83,LAC,123
Oct,29,LAL,127,SAC,132
Oct,30,CHI,112,IND,105
Oct,30,BOS,126,WAS,107
Oct,30,BRK,133,CHO,121
Oct,30,POR,99,TOR,91
Oct,30,MIN,113,ATL,127
Oct,30,DAL,125,MEM,110
Oct,30,MIA,114,MIL,122
Oct,30,GSW,130,NOP,102
Oct,30,DET,112,OKC,124
Oct,30,UTA,102,DEN,110
Oct,30,ORL,103,LAL,106
Oct,31,NYK,109,CLE,91
Oct,31,SAS,115,PHO,114
Oct,31,ORL,102,LAC,118
Nov,1,POR,110,DET,101
Nov,1,MIL,111,TOR,130
Nov,1,WAS,121,ATL,130
Nov,1,IND,104,BOS,155
Nov,1,BRK,109,MIA,105
Nov,1,CLE,95,NYK,89
Nov,1,NOP,110,OKC,106
Nov,1,CHO,119,HOU,128
Nov,1,DEN,89,MIN,110
Nov,1,CHI,105,DAL,114
Nov,1,MEM,109,UTA,133
Nov,1,SAC,101,GSW,102
Nov,1,LAC,125,LAL,130
Nov,2,TOR,99,PHI,114
Nov,2,DET,116,NOP,125
Nov,2,ORL,115,UTA,113
Nov,2,SAS,132,PHO,121
Nov,3,CLE,116,IND,121
Nov,3,NYK,105,MIL,110
